Station Code,Station Name,District,State,Trains passing through
DIQ,Dinagaon,#N/A,,0
DIR,Dhanapur Orissa,Koraput,Odisha,0
DIS,Dilpasar Road,#N/A,,0
DISA,Disa,Banas Kantha,Gujarat,10
DIT,Dohrighat,Mau,Uttar Pradesh,0
DIU,Dhing,Nagaon,Assam,0
DIVA,Diva,Thane,Maharashtra,2
DIW,Dhilwan,Kapurthala,Punjab,0
DIWR,Digwar Halt,Ramgarh,Jharkhand,0
DJ,Darjeeling,Darjeeling,West Bengal,3
DJA,Daotuhaja,Dima Hasao,Assam,0
DJB,Dijaobra,Dima Hasao,Assam,0
DJD,Didarganj Road,Azamgarh,Uttar Pradesh,0
DJG,Duliajan,Dibrugarh,Assam,8
DJHR,Deojhar,Cuttack,Odisha,2
DJI,Dhoraji,Rajkot,Gujarat,2
DJJ,Daijar,Jodhpur,Rajasthan,0
DJKR,Dolaji Ka Khera,Rajsamand,Rajasthan,2
DJL,Dodajala Lake,Bangalore,Karnataka,2
DJR,Domjur,Howrah,West Bengal,0
DJRZ,Darjeeling Joy Ride,Darjeeling,West Bengal,3
DJS,Dhurant Jwas Halt,Lakhisarai,Bihar,0
DJX,Dungripadi,Subarnapur,Odisha,4
DK,Dakor,Kheda,Gujarat,2
DKAE,Dankuni,Hooghly,West Bengal,1
DKB,Dakshin Bari,Howrah,West Bengal,0
DKBJ,Dahar Ka Balaji,Jaipur,Rajasthan,3
DKC,Devarkadre,Mahabubnagar,Telangana,1
DKCH,Dakacha,Indore,Madhya Pradesh,0
DKD,Donakonda,Prakasam,Andhra Pradesh,14
DKDE,Dankaur,Gautam Buddha Nagar,Uttar Pradesh,2
DKDP,Dakshin Durgapur,South 24 Parganas,West Bengal,0
DKE,Dihakho,Dima Hasao,Assam,0
DKGN,Dekargaon,Sonitpur,Assam,4
DKGS,Simaria,Begusarai,Bihar,8
DKI,Dharmkundi,Hoshangabad,Madhya Pradesh,0
DKJ,Dornakal Jn,Mahabubabad,Telangana,31
DKJB,Dornakal Bye Pass,Mahabubabad,Telangana,0
DKJC,Dornakal Cabin,Mahabubabad,Telangana,0
DKJR,Dhekiajili Road,Sonitpur,Assam,4
DKLU,Doikallu,Rayagada,Odisha,0
DKM,Dikom,Dibrugarh,Assam,0
DKN,Devangonthi,Bangalore Rural,Karnataka,3
DKNT,Dakaniya Talav,Kota,Rajasthan,12
DKO,Devakottai Road,Sivaganga,Tamil Nadu,16
DKPM,Dekapam,Dhemaji,Assam,0
DKQ,Dhani Kasar,Kota,Rajasthan,0
DKR,Dekpura Halt,Nalanda,Bihar,0
DKRA,Dhuankheri,Mandsaur,Madhya Pradesh,0
DKRD,Mumbai Dockyard Road,Mumbai Suburban,Maharashtra,0
DKS,Darekasa,Gondia,Maharashtra,3
DKSA,Draksharama,East Godavari,Andhra Pradesh,0
DKT,Dhulkot,Ambala,Haryana,2
DKU,Dumri Khurd,Nagpur,Maharashtra,0
DKUR,Dokur,Mahabubnagar,Telangana,0
DKW,Dhanakwada,Banas Kantha,Gujarat,0
DKWA,Dokwa,Churu,Rajasthan,0
DKX,Dudhwakhara,Churu,Rajasthan,0
DKY,Dhoki,Osmanabad,Maharashtra,2
DKZ,Delhi Kishanganj,North East,Delhi,18
DL,Daladi,Rajkot,Gujarat,2
DLA,Doulta,Lalitpur,Uttar Pradesh,0
DLB,Daulatabad,Aurangabad,Maharashtra,2
DLBS,Durg Link Block,#N/A,,0
DLC,Dalmera,Bikaner,Rajasthan,0
DLCB,Durg Link Cabin,Durg,Chhatisgarh,0
DLCR,Dullabcherra,Karimganj,Assam,0
DLD,Dalauda,Mandsaur,Madhya Pradesh,4
DLDE,Daldali,Karbi Anglong,Assam,0
DLF,Dalan,Katihar,Bihar,0
DLGN,Dhalgaon,Sangli,Maharashtra,6
DLGS,Duklangia,Jorhat,Assam,0
DLI,Old Delhi,Central,Delhi,105
DLJ,Dhola Jn,Bhavnagar,Gujarat,20
DLK,Dalkhola,Uttar Dinajpur,West Bengal,33
DLM,Daskalgram,Birbhum,West Bengal,0
DLMH,Dhaulimuhan,Khordha,Odisha,1
DLN,Dildarnagar Jn,Ghazipur,Uttar Pradesh,49
DLNA,Dhelana,Jodhpur,Rajasthan,0
DLO,Dalgaon,Jalpaiguri,West Bengal,12
DLP,Dalpatpur,Moradabad,Uttar Pradesh,0
DLPC,Daulatpur Chowk,Una,Himachal Pradesh,2
DLPH,Daulatpur Hat,Dakshin Dinajpur,West Bengal,1
DLPI,Indrapuri,Central,Delhi,0
DLPR,Dayalpur,Prayagraj,Uttar Pradesh,0
DLPT,Dulakhapatna,Jajpur,Odisha,0
DLQ,Dalelnagar,Auraiya,Uttar Pradesh,2
DLR,Dullahapur,Ghazipur,Uttar Pradesh,14
DLS-ERS,Ernakulam Diesel Loco Shed,Ernakulam,Kerala,0
DLSR,Dalhogi Road,Pathankot,Punjab,0
DLTR,Daulatpur Halt,Munger,Bihar,0
DLV,Dolavali,Raigad,Maharashtra,0
DLW,Dilwa,Koderma,Jharkhand,1
DLWS,Varanasi Diesel Loco Works,#N/A,,0
DLX,Dalimgaon,Uttar Dinajpur,West Bengal,0
DLZ,Dholbaja,Araria,Bihar,0
DM,Dimow,#N/A,,0
DMA,Damodar Junction,Paschim Bardhaman,West Bengal,2
DMBR,Dumri Bihar,Giridih,Jharkhand,0
DMC,Dhemaji,Dhemaji,Assam,8
DMCA,Damaracherla,Nalgonda,Telangana,0
DMD,Dharmadam,Kannur,Kerala,0
DME,Damnagar,Amreli,Gujarat,0
DMF,Dumerta,Sundargarh,Odisha,0
DMFS,Dimapur Sliding Fs,Dimapur,,0
DMG,Domingarh,Gorakhpur,Uttar Pradesh,2
DMGN,Dhamalgaon,Dibrugarh,Assam,8
DMH,Dauram Madhpura,Madhepura,Bihar,10
DMJ,Dharmaj,Anand,Gujarat,0
DMJR,Domjur Road,Howrah,West Bengal,0
DMK,Dilmili,Bastar,Chhatisgarh,2
DML,Dharamtul,Morigaon,Assam,1
DMLE,Dumurdaha,Hooghly,West Bengal,2
DMLI,Damlai,Bharuch,Gujarat,0
DMM,Dharmavaram Jn,Anantapur,Andhra Pradesh,87
DMN,Dhamangaon,Amravati,Maharashtra,33
DMNJ,Damanjodi,Koraput,Odisha,8
DMO,Damoh,Damoh,Madhya Pradesh,77
DMP,Dharmpur Hmchl,Solan,Himachal Pradesh,0
DMPR,Dharampur,Bulandshahr,Uttar Pradesh,0
DMR,Dharmanagar,North Tripura,Tripura,12
DMRT,Dumuriput,Koraput,Odisha,2
DMRX,Dumri Halt,Lakhisarai,Bihar,9
DMSR,Dhimsiri Halt,Agra,Uttar Pradesh,0
DMT,Diguvametta,Prakasam,Andhra Pradesh,10
DMU,Dhamua,South 24 Parganas,West Bengal,0
DMV,Dimapur,Dimapur,Nagaland,49
DMW,Dalmau Jn,Rae Bareli,Uttar Pradesh,4
DMWP,Dmw Patiala Halt,Patiala,Punjab,0
DMYA,Damoy,Umaria,Madhya Pradesh,0
DMZ,Dumdangi,Uttar Dinajpur,West Bengal,0
DN,Dhanari,Budaun,Uttar Pradesh,0
DNA,Degana Jn,Nagaur,Rajasthan,63
DNC,Dhone,Kurnool,Andhra Pradesh,0
DND,Dandupur,Prayagraj,Uttar Pradesh,8
DNDI,Dhondi,Parbhani,Maharashtra,0
DNDL,Dandi Mal,Dhenkanal,Odisha,0
DNE,Dhamni,Hingoli,Maharashtra,0
DNEA,Danea,Bokaro,Jharkhand,1
DNGD,Dungarda,Dang,Gujarat,0
DNGI,Dangari,Tinsukia,Assam,0
DNH,Deonagar,Bokaro,Jharkhand,0
DNHK,Dhindhora Hkmkd,Karauli,Rajasthan,1
DNHL,Dhaniakhali,Hooghly,West Bengal,0
DNI,Dansi,Howrah,West Bengal,0
DNJ,Daundaj,Pune,Maharashtra,0
DNK,Dhanakya,Jaipur,Rajasthan,5
DNKL,Dhenkanal,Dhenkanal,Odisha,46
DNL,Dhanoli,Gondia,Maharashtra,3
DNM,Dhanmandal,Jajpur,Odisha,6
DNN,Dina Nagar,Gurdaspur,Punjab,8
DNPR,Dhanpura,Mahesana,Gujarat,0
DNQ,Dandkhora,Katihar,Bihar,0
DNR,Danapur,Patna,Bihar,97
DNRA,Dhandhera,Haridwar,Uttarakhand,1
DNRE,Dhanauri,Lakhisarai,Bihar,2
DNRP,Dungarpur,Dungarpur,Rajasthan,2
DNT,Dantan,Paschim Medinipur,West Bengal,4
DNU,Dalsanur,Kolar,Karnataka,0
DNUA,Dhansura,Sabarkantha,Gujarat,0
DNV,Donkinavalasa,Vizianagaram,Andhra Pradesh,2
DNW,Dangarwa,Mahesana,Gujarat,0
DNWF,Dangarwa,Mahesana,Gujarat,0
DNWH,Daniyawan Bazar Halt,Patna,Bihar,4
DNWR,Raj Dhanwar,Giridih,Jharkhand,0
DNX,Dhansu,Hisar,Haryana,0
DNZ,Dhanori,Wardha,Maharashtra,0
DO,Dausa,Dausa,Rajasthan,56
DOA,Doraha,Ludhiana,Punjab,9
DOB,Dundlod Mukundgrah,Jhunjhunu,Rajasthan,4
DOBH,Deobahal,Bargarh,Odisha,0
DOC,Daun Kalan,Patiala,Punjab,0
DOD,Dhodhar,Ratlam,Madhya Pradesh,4
DODH,Dodh,Ferozepur,Punjab,0
DOE,Deori,Sagar,Madhya Pradesh,8
DOG,Donigal,#N/A,,1
DOGL,Donigal,Hassan,Karnataka,1
DOH,Dhodra Mohar,Betul,Madhya Pradesh,0
DOHM,Devgarh Madriya,Rajsamand,Rajasthan,2
DOI,Domohani,Paschim Bardhaman,West Bengal,2
DOK,Dholka,Ahmadabad,Gujarat,0
DOKA,Dokra Block Hut,#N/A,,0
DOKM,Dokra Halt,Dhanbad,Jharkhand,2
DOKY,Dukheri,Ambala,Haryana,2
DOL,Dholi,Muzaffarpur,Bihar,24
DOLK,Dholikua,Navsari,Gujarat,0
DON,Derawan Halt,Dewas,Madhya Pradesh,0
DOR,Dundara,Jodhpur,Rajasthan,3
DORD,Deo Road,Aurangabad,Bihar,0
DOS,Dehri On Sone,Rohtas,Bihar,67
DOT,Dhakia Tiwari,Shahjahanpur,Uttar Pradesh,0
DOTL,Deotala,Malda,West Bengal,1
DOW,Davol,Anand,Gujarat,0
DOX,Dohna,Bareilly,Uttar Pradesh,0
DOY,Dornahalli,Mysuru,Karnataka,0
DOZ,Daurai,Ajmer,Rajasthan,2
DPA,Durgapura,Jaipur,Rajasthan,56
DPC,Darliput,Koraput,Odisha,0
DPD,Dosapadu,Krishna,Andhra Pradesh,1
DPDP,Dhapdhapi,South 24 Parganas,West Bengal,0
DPE,Devarapalle,Anantapur,Andhra Pradesh,0
DPF,Dabpal,Dakshin Bastar Dantewada,Chhatisgarh,0
DPH,Dadhapara,Bilaspur,Chhatisgarh,0
DPI,Doddampatti,Dharmapuri,Tamil Nadu,0
DPJ,Dharmapuri,Dharmapuri,Tamil Nadu,20
DPK,Dholipal,Hanumangarh,Rajasthan,4
DPL,Danauli Phlwria,Begusarai,Bihar,2
DPLN,Diplana,Hanumangarh,Rajasthan,4
DPNR,Deepnagar Halt,Nalanda,Bihar,0
DPO,Damanpur,Jalpaiguri,West Bengal,0
DPP,Dhirpur,Kurukshetra,Haryana,0
DPR,Dhampur,Bijnor,Uttar Pradesh,16
DPRA,Dhup Dhara,Goalpara,Assam,2
DPS,Dangoaposi,Pashchimi Singhbhum,Jharkhand,10
DPSR,Dapsaura,Hamirpur,Uttar Pradesh,0
DPT,Dalpat Singhpur,Ganganagar,Rajasthan,2
DPU,Diphu,Karbi Anglong,Assam,45
DPUR,Dadpur,Kalahandi,Odisha,2
DPW,Dhapewara,Balaghat,Madhya Pradesh,0
DPX,Dadpur,Jamui,Bihar,2
DPZ,Devpura,Udaipur,Rajasthan,3
DQG,Dhupguri,Jalpaiguri,West Bengal,35
DQH,Daula Kot Bhai,#N/A,,0
DQL,Dhalaibil,Sonitpur,Assam,2
DQN,Dhanera,Banas Kantha,Gujarat,10
DQR,Kacheguda Dbr,Hyderabad,Telangana,0
DQS,Dhansar,Dhanbad,Jharkhand,0
DQV,Daula Kot Bhai,Sri Muktsar Sahib,Punjab,0
DR,Mumbai Dadar Central,Mumbai Suburban,Maharashtra,109
DRA,Dularia,Hoshangabad,Madhya Pradesh,0
DRB,Debari,Udaipur,Rajasthan,0
DRBR,Deoraha Baba Rd,Deoria,Uttar Pradesh,0
DRD,Dahanu Road,Palghar,Maharashtra,34
DRE,Dhogri,Jalandhar,Punjab,0
DRG,Darshannagar,Ayodhya,Uttar Pradesh,1
DRGD,Dharangadhra Jn,Surendranagar,Gujarat,0
DRGJ,Daraganj,Prayagraj,Uttar Pradesh,0
DRGM,Deoragram,Sidhi,Madhya Pradesh,0
DRGU,Damru Ghutu,Purulia,West Bengal,0
DRH,Dharhara,Munger,Bihar,18
DRHI,Dagarhkeri,Khandwa,Madhya Pradesh,0
DRI,Dumri Juara,Saran,Bihar,2
DRJ,Dadar Jn,#N/A,,0
DRL,Derol,Panchmahal,Gujarat,16
DRLA,Daurala,Meerut,Uttar Pradesh,1
DRM,Dhirasram,#N/A,,0
DRMT,Dhrumath,#N/A,,0
DRN,Deoranian,Bareilly,Uttar Pradesh,0
DRO,Daryaogonj,Kasganj,Uttar Pradesh,6
DRPH,Devri Ph,Jabalpur,Madhya Pradesh,1
DRQ,Dharminiya,Purba Champaran,Bihar,2
DRR,Dharur,Vikarabad,Telangana,4
DRRN,Dr R K Nagar,Ratlam,Madhya Pradesh,0
DRS,Dhareshwar,Pali,Rajasthan,0
DRSA,Darsana,#N/A,,0
DRSN,Dhurwasin,Anuppur,Madhya Pradesh,3
DRTP,Dasharathpur,Munger,Bihar,6
DRU,Kadur,Chikkamagaluru,Karnataka,31
DRV,Darauli,Ghazipur,Uttar Pradesh,2
DRW,Dharewada,Patan,Gujarat,0
DRWN,Derowan P Halt,Pashchimi Singhbhum,Jharkhand,0
DRZ,Dalli Rajhara,Balod,Chhatisgarh,3
DS,Dasna,Ghaziabad,Uttar Pradesh,0
DSA,Delhi Shahdara,East,Delhi,24
DSAP,Delhi Shahdara A Panel,East,Delhi,0
DSB,Delhi Sadar Bazar,North,Delhi,2
DSBC,Delhi Shahdara Block Cabin,East,Delhi,0
DSBP,Delhi Shahdara B Panel,East,Delhi,0
DSD,Dosvada,Tapi,Gujarat,0
DSEY,Durgapur Steel,Paschim Bardhaman,West Bengal,0
DSHI,Doddasiddavanha,Chitradurga,Karnataka,0
DSJ,Delhi Safdarjung,South West,Delhi,12
DSK,Duskheda,Jalgaon,Maharashtra,0
DSKG,Dsks Nagar Garhpura,Begusarai,Bihar,2
DSL,Deswal,Nagaur,Rajasthan,0
DSLP,Deshalpur,Kutch,Gujarat,0
DSM,Darasuram,Thanjavur,Tamil Nadu,0
DSME,Dasara,Koderma,Jharkhand,0
DSN,Darsana,#N/A,,4
DSNB,Darsana Border,#N/A,,0
DSNI,Dausni,Haridwar,Uttarakhand,1
DSNJ,Darsana Jn Cabin,#N/A,,0
DSNR,Dashnagar,Howrah,West Bengal,0
DSO,Deshnok,Bikaner,Rajasthan,18
DSPN,Deshpran Ph,Purba Medinipur,West Bengal,2
DSPT,Danishpet,Salem,Tamil Nadu,0
DSR,Dhansiri,Golaghat,Assam,2
DSRD,Desar Road,Vadodara,Gujarat,0
DSRP,Raipur Diesel Loco Shed,#N/A,,0
DSS,Dalsingh Sarai,Samastipur,Bihar,35
DST,Dasampatti,Krishnagiri,Tamil Nadu,0
DSVS,Samudravalli,Hassan,Karnataka,0
DSX,Desang,Sivasagar,Assam,0
DT,Daulatpur,#N/A,,0
DTAE,Dhatrigram,Purba Bardhaman,West Bengal,1
DTAP,Dhatura Alipur,#N/A,,0
DTC,Ditokcherra,Cachar,Assam,0
DTCC,Dativli Chord Cabin,Thane,Maharashtra,0
DTD,Dasalwada A Rd,#N/A,,0
DTE,Deulti,Howrah,West Bengal,0
DTF,Dantla,Alwar,Rajasthan,0
DTG,Dignagar,Nadia,West Bengal,0
DTJ,Detroj,Ahmadabad,Gujarat,0
DTK,Dattapukur,North 24 Parganas,West Bengal,0
DTL,Darritola,Koriya,Chhatisgarh,2
DTN,Dhamtan Sahib,Jind,Haryana,0
DTO,Daltonganj,Palamu,Jharkhand,33
DTP,Diviti Palli,Mahabubnagar,Telangana,0
DTQ,Dantarda Kalan,Sheopur,Madhya Pradesh,0
DTR,Dhamtari,Dhamtari,Chhatisgarh,0
DTRA,Dantra,Jaipur,Rajasthan,2
DTRD,Diyatara Road,Bikaner,Rajasthan,2
DTT,Doddanatta Halt,Kolar,Karnataka,0
DTV,Dhutra,Jharsuguda,Odisha,0
DTVL,Dativli,Thane,Maharashtra,0
DTW,Datewas,Mansa,Punjab,0
DTX,Dangtal,Bongaigaon,Assam,2
DTZ,Daulatpur College,#N/A,,0
DUA,Dhaura,Satna,Madhya Pradesh,10
DUAN,Duan,Paschim Medinipur,West Bengal,0
DUB,Dabtara,Budaun,Uttar Pradesh,4
DUBH,Dubaha,Muzaffarpur,Bihar,4
DUD,Dudhani,Solapur,Maharashtra,10
DUE,Dudahi,Kushinagar,Uttar Pradesh,4
DUF,Dubalvel,Washim,Maharashtra,0
DUGD,Dugda,Bokaro,Jharkhand,0
DUH,Dudda,Hassan,Karnataka,0
DUI,Dhuri Jn,Sangrur,Punjab,43
DUJ,Dubrajpur,Birbhum,West Bengal,2
DUK,Dudia,Jodhpur,Rajasthan,0
DULP,Daulatpur Haryana,Hisar,Haryana,0
DUM,Dhaurmui Jaghna,Bharatpur,Rajasthan,0
DUMK,Dumka,Dumka,Jharkhand,4
DUMR,Dumra,Sitamarhi,Bihar,2
DUN,Duganpur,Rampur,Uttar Pradesh,0
DUO,Dhaursalar,Kanpur Nagar,Uttar Pradesh,0
DUP,Dhulipalla Halt,Guntur,Andhra Pradesh,0
DUQ,Dukhnawaran,Amritsar,Punjab,0
DUR,Desur,Belagavi,Karnataka,0
DURE,Dumraon,Buxar,Bihar,34
DURG,Durg,Durg,Chhatisgarh,135
DURP,Durgapuri,Sheopur,Madhya Pradesh,0
DUS,Dulrasar,Churu,Rajasthan,0
DUSI,Dusi,Srikakulam,Andhra Pradesh,2
DUT,Dum Duma Town,Tinsukia,Assam,0
DUTR,Duriatanr Halt,Giridih,Jharkhand,0
DUU,Dupadu,Kurnool,Andhra Pradesh,0
DUV,Dunggarpur Qury,#N/A,,0
DUY,Dumiyani,#N/A,,0
DV,Dhuva,Morbi,Gujarat,0
DVA,Delvada,Gir Somnath,Gujarat,0
DVBH,Makudan Virapandi Block Hut,Salem,Tamil Nadu,0
DVD,Duvvada,Visakhapatnam,Andhra Pradesh,110
DVG,Davangere,Davanagere,Karnataka,57
DVGM,Devgam,Patan,Gujarat,0
DVH,Devi Halt,Chhindwara,Madhya Pradesh,0
DVJ,Dilli Dewan Ganj,Katihar,Bihar,0
DVL,Devlali,Nashik,Maharashtra,38
DVM,Dalbhumgarh,Purbi Singhbhum,Jharkhand,2
DVN,Devthana,Nanded,Maharashtra,0
DVR,Doravari Chatram,Sri Potti Sriramulu Nellore,Andhra Pradesh,0
DVY,Devaliya,Morbi,Gujarat,0
DW,Dw,#N/A,,0
DWA,Dailwara,Lalitpur,Uttar Pradesh,0
DWD,Dhekvad,Nandurbar,Maharashtra,0
DWDI,Dighwa Dubauli,Gopalganj,Bihar,2
DWF,Dudh Sagar Water Falls,South Goa,Goa,0
DWG,Dewanganj,Bhopal,Madhya Pradesh,2
DWI,Dingwahi,Banda,Uttar Pradesh,1
DWJ,Dwarkaganj,Sultanpur,Uttar Pradesh,1
DWJN,Diva Jn Cabin,Thane,Maharashtra,0
DWK,Dwarka,Devbhoomi Dwarka,Gujarat,26
DWL,Dhuwala,Bhilwara,Rajasthan,0
DWLE,Dhauni,Banka,Bihar,2
DWM,Darwha Moti Bagh Jn,Yavatmal,Maharashtra,0
DWNA,Diwana,Panipat,Haryana,0
DWO,Doiwala,Dehradun,Uttarakhand,10
DWP,Dwarapudi,Vizianagaram,Andhra Pradesh,24
DWR,Dharwar,Dharwad,Karnataka,59
DWRK,Dewri Rukhara,Lucknow,Uttar Pradesh,0
DWT,Dewan Hut,Cooch Behar,West Bengal,0
DWV,Diwankhavati,Ratnagiri,Maharashtra,2
DWX,Dewas,Dewas,Madhya Pradesh,74
DWZ,Dantewara,Dakshin Bastar Dantewada,Chhatisgarh,2
DXD,Digod,Kota,Rajasthan,2
DXG,Dharangaon,Jalgaon,Maharashtra,10
DXH,Duhai,Ghaziabad,Uttar Pradesh,1
DXK,Dhana Kherli,Bharatpur,Rajasthan,1
DXN,Duddhinagar,Sonbhadra,Uttar Pradesh,13
DXR,Digsar,Surendranagar,Gujarat,0
DXU,Duhru,Kanpur Nagar,Uttar Pradesh,0
DY,Dumariya,Bharatpur,Rajasthan,1
DYD,Daryabad,Barabanki,Uttar Pradesh,20
DYE,Dayanand Nagar,Medchal Malkajgiri,Telangana,0
DYG,Dhubri Ghat,Dhubri,Assam,0
DYK,Dudhia Khurd,Pilibhit,Uttar Pradesh,0
DYP,Daryapur,Rae Bareli,Uttar Pradesh,1
DYS,Dalapathy Samudram,Tirunelveli,Tamil Nadu,0
DYU,Diyuri,Pilibhit,Uttar Pradesh,0
DYW,Diyawan Halt,Patna,Bihar,0
DZA,Dasuya,Hoshiarpur,Punjab,29
DZB,Dahina Zainabad,Rewari,Haryana,4
DZK,Durgachak,Purba Medinipur,West Bengal,0
DZKT,Durga Chak Town,Purba Medinipur,West Bengal,2
DZL,Dhana Ladanpur,Bhiwani,Haryana,0
DZP,Darazpur,Yamunanagar,Haryana,2
EC28,Pura Halt,Gaya,Bihar,0
EC31,Kharuara Halt,Nalanda,Bihar,0
EC32,Imlibhaga Halt,Nalanda,Bihar,0
ED,Erode Jn,Erode,Tamil Nadu,169
ED-DLS,Erode Diesel Loco Shed,Erode,Tamil Nadu,0
EDA,Itwan Dundaila,Banda,Uttar Pradesh,1
EDD,Edduladoddi,Kurnool,Andhra Pradesh,0
EDG,Eden Gardens,Howrah,West Bengal,0
EDN,Edamann,Kollam,Kerala,2
EDP,Edapalayam Halt,Kollam,Kerala,0
EDU,Eriodu,Dindigul,Tamil Nadu,0
EE,Eluru,West Godavari,Andhra Pradesh,149
EGT,Egattur Halt,Thiruvallur,Tamil Nadu,0
EGU,Iranagallu,Kurnool,Andhra Pradesh,0
EGW,Magarwara,#N/A,,0
EKC,Ekchari,Bhagalpur,Bihar,10
EKH,Eksari Halt,Sheikhpura,Bihar,0
EKI,Eklakhi,Hooghly,West Bengal,11
EKL,Ekdil,Etawah,Uttar Pradesh,1
EKM,Ekambarakuppam,Chittoor,Andhra Pradesh,8
EKMA,Ekma,Saran,Bihar,14
EKN,Ezhukone,Kollam,Kerala,2
EKR,Ekangarsarai,Nalanda,Bihar,4
EL,Elamanur,Tiruchirappalli,Tamil Nadu,0
ELG,Elangakurichi,Tiruchirappalli,Tamil Nadu,0
ELL,Eraligu,Karimganj,Assam,0
ELM,Elimala,Kannur,Kerala,2
ELP,Achalpur,Amravati,Maharashtra,0
ELR,Elavur,Thiruvallur,Tamil Nadu,0
EM,Ekma,Saran,Bihar,0
EN,Isand,Gandhinagar,Gujarat,0
ENB,Ellenabad,Sirsa,Haryana,6
ENBG,Isand Bg,Gandhinagar,Gujarat,0
ENR,Ennore,Chennai,Tamil Nadu,0
EOC,Udl East Outer Cabin,Paschim Bardhaman,West Bengal,0
EOCM,Eocm,Chandauli,Uttar Pradesh,0
EPR,Mumbai Elphinstone Road,Mumbai Suburban,Maharashtra,0
ER08,Kalinagar,Purba Bardhaman,West Bengal,0
ERC,Erich Road,Jhansi,Uttar Pradesh,1
ERG,Ernakulam (Goods),Ernakulam,Kerala,0
ERL,Eraniel,Kanyakumari,Tamil Nadu,10
ERM,Ernakulam Marsh,#N/A,,0
ERMC,Ernakulam Marsh,#N/A,,0
ERMD,Ernakulam Marsh,#N/A,,0
ERN,Ernakulam Town,Ernakulam,Kerala,84
ERNC,Ernakulam Town,Ernakulam,Kerala,0
ERS,Ernakulam Jn,Ernakulam,Kerala,107
ERSC,Ernakulam Jn C,Ernakulam,Kerala,0
ERSD,Ernakulam D Cabin,Ernakulam,Kerala,0
ERSS,Ernakulam,#N/A,,0
ESC,Central,Firozabad,Uttar Pradesh,0
ESDS,Er Store Depot,North 24 Parganas,West Bengal,0
ESV,Isivi,Kurnool,Andhra Pradesh,0
ET,Itarsi Jn,Hoshangabad,Madhya Pradesh,320
ETAH,Etah,Etah,Uttar Pradesh,2
ETB,Itarsi B Cabin,Hoshangabad,Madhya Pradesh,0
ETBC,Itarsi B Cabin,Hoshangabad,Madhya Pradesh,0
ETF,Itarsi F Cabin,Hoshangabad,Madhya Pradesh,0
ETK,Etakkot,Kannur,Kerala,0
ETM,Ettumanur,Kottayam,Kerala,4
ETMD,Ettimadai,Coimbatore,Tamil Nadu,0
ETP,Ettapur Road,Salem,Tamil Nadu,2
ETR,Elattur,Kozhikode,Kerala,0
ETUE,Etmadpur,Firozabad,Uttar Pradesh,1
ETW,Etawah,Etawah,Uttar Pradesh,64
ETYD,Empty Yard,#N/A,,0
EVA,Edavai,Thiruvananthapuram,Kerala,0
EZP,Ezhuppunna,Alappuzha,Kerala,0
FA,Falna,Pali,Rajasthan,78
FAB,Fatehabad,Agra,Uttar Pradesh,0
FAH,Fateha Halt,Begusarai,Bihar,0
FAN,Fatehnagar,Udaipur,Rajasthan,14
FAP,Fakharpur Halt,Baghpat,Uttar Pradesh,2
FAR,Farah,Mathura,Uttar Pradesh,0
FBD,Farrukhabad,Farrukhabad,Uttar Pradesh,37
FBG,Forbesganj,Araria,Bihar,4
FBGA,Forbebganj,#N/A,,0
FD,Faizabad Jn,Ayodhya,Uttar Pradesh,70
FDB,Faridabad,Faridabad,Haryana,73
FDK,Faridkot,Faridkot,Punjab,18
FDN,Faridabad New Town,Faridabad,Haryana,3
FGCN,Fategarh Churian,Amritsar,Punjab,0
FGH,Fatehgarh Haryana,Charkhi Dadri,Haryana,0
FGJ,Fatehgarh Jodhe,#N/A,,0
FGN,Fagunagaon,#N/A,,0
FGR,Fatehgarh,Farrukhabad,Uttar Pradesh,14
FGS,Fort Gloster,#N/A,,0
FGSB,Fatehgarh Sahib,Fatehgarh Sahib,Punjab,2
FHT,Farah Town,Mathura,Uttar Pradesh,2
FK,Ferok,Kozhikode,Kerala,23
FKA,Fazilka,Fazilka,Punjab,4
FKB,Fakhrabad,Nizamabad,Telangana,0
FKD,Farrukhabad,Farrukhabad,Uttar Pradesh,0
FKG,Furkating Jn,Golaghat,Assam,33
FKK,Farakka,Murshidabad,West Bengal,0
FKM,Fakiragram Jn,Kokrajhar,Assam,27
FL,Phulera Jn,Jaipur,Rajasthan,102
FLD,Phulad,Pali,Rajasthan,2
FLK,Falakata,Alipurduar,West Bengal,12
FLM,Falimari,Cooch Behar,West Bengal,0
FLR,Phuleswar,Howrah,West Bengal,0
FLU,Phulia,Nadia,West Bengal,0
FM,Kacheguda Falaknuma,Hyderabad,Telangana,4
FN,Farukhnagar,Gurugram,Haryana,2
FNB,Fatehnagar,Medchal Malkajgiri,Telangana,0
FNG,Faridnagar,#N/A,,0
FNHL,Fernhill,Nilgiris,Tamil Nadu,0
FNO,Fungo Halt,Khagaria,Bihar,0
FOCM,Flyover Cabin Mughalsarai,Chandauli,Uttar Pradesh,0
FOCS,Flyover Cabin Sonenagar,Aurangabad,Bihar,0
FPAW,Fatehpur Atwa Halt,Ghazipur,Uttar Pradesh,0
FPS,Fatehpur Shekhawati,Sikar,Rajasthan,4
FRD,Farhedi,Moradabad,Uttar Pradesh,0
FRDH,Faridaha Halt,Ghazipur,Uttar Pradesh,0
FRG,Faringapete Halt,Dakshina Kannada,Karnataka,0
