Station Code,Station Name,District,State,Trains passing through
AHD,Aherwadi,Solapur,Maharashtra,0
AHH,Ahmadgarh,Sangrur,Punjab,7
AHI,Ashti,Solapur,Maharashtra,0
AHJU,Ahju,Mandi,Himachal Pradesh,0
AHL,Ajharail,Katihar,Bihar,0
AHLR,Ahalyapur,Deoria,Uttar Pradesh,1
AHM,Ahimanpur,Bhadohi,Uttar Pradesh,1
AHMP,Adarsh Manpur,Sheikhpura,Bihar,0
AHN,Ahiran,Murshidabad,West Bengal,2
AHO,Adarshnagar,Ajmer,Rajasthan,0
AHQ,Ahera Halt,Baghpat,Uttar Pradesh,2
AHT,Amghata,Nadia,West Bengal,0
AHU,Ahirauli,Siddharthnagar,Uttar Pradesh,0
AHZ,Adhinpur,Amethi,Uttar Pradesh,0
AI,Adipur,Kutch,Gujarat,14
AIA,Ajaraka,Alwar,Rajasthan,0
AIG,Algawan,Hardoi,Uttar Pradesh,2
AIH,Alawalpur I Pur,Baghpat,Uttar Pradesh,0
AII,Ajmer Jn,Ajmer,Rajasthan,139
AILM,Ailam,Shamli,Uttar Pradesh,0
AIP,Attippattu,Thiruvallur,Tamil Nadu,0
AIPP,Attippattu Pudu Nagar,Thiruvallur,Tamil Nadu,0
AIR,Alindra Road,Kheda,Gujarat,2
AIRL,Airoli,Thane,Maharashtra,0
AIT,Ait,Jalaun,Uttar Pradesh,10
AJ,Ajgain,Unnao,Uttar Pradesh,0
AJE,Anjar,Kutch,Gujarat,12
AJH,Ajhai,Mathura,Uttar Pradesh,0
AJI,Anjhi Shahabad,Hardoi,Uttar Pradesh,14
AJIT,Ajit,Jodhpur,Rajasthan,0
AJJ,Arakkonam,Ranipet,Tamil Nadu,105
AJJN,Arakkonam Jn North,Ranipet,Tamil Nadu,0
AJK,Ajakollu,Wanaparthy,Telangana,0
AJKI,Ajitkheri,Dewas,Madhya Pradesh,0
AJL,Ajitwal,Moga,Punjab,2
AJLE,Azimganj Jn Cabin,Murshidabad,West Bengal,0
AJLS,Arakkonam Loco Shed,Ranipet,Tamil Nadu,0
AJM,Adraj Moti,Gandhinagar,Gujarat,0
AJN,Ajnod,Indore,Madhya Pradesh,0
AJNI,Ajni,Nagpur,Maharashtra,29
AJP,Ajjampur,Chikkamagaluru,Karnataka,6
AJR,Ajaibpur,Gautam Buddha Nagar,Uttar Pradesh,2
AJRE,Aujari,Morigaon,Assam,0
AJT,Anji Shahabad,#N/A,,0
AJTM,Ajitgill Matta,Faridkot,Punjab,0
AJU,Arjuni,Gondia,Maharashtra,2
AJUG,Abjuganj,Bhagalpur,Bihar,0
AJWA,Ajwa,Vadodara,Gujarat,0
AK,Akola Jn,Akola,Maharashtra,126
AKAH,Artalakatta,East Godavari,Andhra Pradesh,0
AKAT,Akkampet,Sri Potti Sriramulu Nellore,Andhra Pradesh,0
AKB,Akola B Cabin,Akola,Maharashtra,0
AKD,Akodia,Shajapur,Madhya Pradesh,14
AKE,Akanapet,Medak,Telangana,8
AKI,Adarki,Satara,Maharashtra,0
AKIP,Akaipur Halt,Nadia,West Bengal,0
AKJ,Akbarganj,Rae Bareli,Uttar Pradesh,6
AKK,Akkihebbalu,Mandya,Karnataka,0
AKL,Anakhol,Gandhinagar,Gujarat,0
AKM,Arambakkam,Thiruvallur,Tamil Nadu,0
AKN,Akbarnagar,Bhagalpur,Bihar,16
AKNR,Adhyatmik Nagar,Ghaziabad,Uttar Pradesh,0
